Quaterly;Depositbanks;Mortagebanks;Total;procentdeposit;procentmortage
15/02/1970;50549;64242;114791;44,04;55,96
15/05/1970;51171;66408;117579;43,52;56,48
15/08/1970;51336;68851;120187;42,71;57,29
15/11/1970;52511;70614;123125;42,65;57,35
15/02/1971;54516;72580;127096;42,89;57,11
15/05/1971;54132;75994;130126;41,60;58,40
15/08/1971;54130;79372;133502;40,55;59,45
15/11/1971;54841;82411;137252;39,96;60,04
15/02/1972;56830;84910;141740;40,09;59,91
15/05/1972;57856;88287;146143;39,59;60,41
15/08/1972;59682;92443;152124;39,23;60,77
15/11/1972;61675;96749;158424;38,93;61,07
15/02/1973;65532;101519;167052;39,23;60,77
15/05/1973;66955;105576;172531;38,81;61,19
15/08/1973;69397;110381;179778;38,60;61,40
15/11/1973;71218;115048;186266;38,23;61,77
15/02/1974;75765;119349;195115;38,83;61,17
15/05/1974;76626;124001;200627;38,19;61,81
15/08/1974;76058;129211;205270;37,05;62,95
15/11/1974;76267;133843;210110;36,30;63,70
15/02/1975;78715;137541;216256;36,40;63,60
15/05/1975;77120;143646;220765;34,93;65,07
15/08/1975;76553;150089;226642;33,78;66,22
15/11/1975;78359;155882;234241;33,45;66,55
15/02/1976;84189;161305;245494;34,29;65,71
15/05/1976;87072;166094;253166;34,39;65,61
15/08/1976;90641;171760;262401;34,54;65,46
15/11/1976;91513;175935;267448;34,22;65,78
15/02/1977;95539;181753;277292;34,45;65,55
15/05/1977;98352;187098;285450;34,45;65,55
15/08/1977;100536;192782;293318;34,28;65,72
15/11/1977;102335;197926;300261;34,08;65,92
15/02/1978;107274;201067;308342;34,79;65,21
15/05/1978;108899;206833;315732;34,49;65,51
15/08/1978;110652;213547;324199;34,13;65,87
15/11/1978;113455;220602;334057;33,96;66,04
15/02/1979;116125;224089;340214;34,13;65,87
15/05/1979;121111;230430;351541;34,45;65,55
15/08/1979;123523;238143;361666;34,15;65,85
15/11/1979;125325;245733;371058;33,77;66,23
15/02/1980;128338;249203;377541;33,99;66,01
15/05/1980;132886;254144;387029;34,33;65,67
15/08/1980;132549;260396;392945;33,73;66,27
15/11/1980;136958;265370;402328;34,04;65,96
15/02/1981;138266;267109;405375;34,11;65,89
15/05/1981;146519;270883;417401;35,10;64,90
15/08/1981;147120;275036;422156;34,85;65,15
15/11/1981;149490;278461;427951;34,93;65,07
15/02/1982;154858;280799;435657;35,55;64,45
15/05/1982;163155;283351;446506;36,54;63,46
15/08/1982;164799;287027;451826;36,47;63,53
15/11/1982;166272;291667;457938;36,31;63,69
15/02/1983;167966;296902;464868;36,13;63,87
15/05/1983;175310;303525;478835;36,61;63,39
15/08/1983;172614;312971;485585;35,55;64,45
15/11/1983;182715;321113;503828;36,27;63,73
15/02/1984;190007;329611;519618;36,57;63,43
15/05/1984;206554;337857;544411;37,94;62,06
15/08/1984;205654;348330;553983;37,12;62,88
15/11/1984;210992;359771;570763;36,97;63,03
15/02/1985;212900;371524;584424;36,43;63,57
15/05/1985;226121;385796;611917;36,95;63,05
15/08/1985;221753;404241;625994;35,42;64,58
15/11/1985;248787;422500;671287;37,06;62,94
15/02/1986;251400;440553;691952;36,33;63,67
15/05/1986;276490;456862;733352;37,70;62,30
15/08/1986;289338;474682;764020;37,87;62,13
15/11/1986;326750;491582;818332;39,93;60,07
15/02/1987;329916;503878;833794;39,57;60,43
15/05/1987;339370;517439;856809;39,61;60,39
15/08/1987;333941;537308;871249;38,33;61,67
15/11/1987;357965;556838;914803;39,13;60,87
15/02/1988;338608;572420;911028;37,17;62,83
15/05/1988;348615;583772;932387;37,39;62,61
15/08/1988;339961;596716;936677;36,29;63,71
15/11/1988;350913;608696;959608;36,57;63,43
15/02/1989;339399;618858;958257;35,42;64,58
15/05/1989;353346;624842;978188;36,12;63,88
15/08/1989;345533;632562;978095;35,33;64,67
15/11/1989;371907;638357;1010264;36,81;63,19
15/02/1990;364006;646814;1010820;36,01;63,99
