Year;Uge;Kort rente;Lang rente
2020;17;-0,34;1,31
2020;16;-0,33;1,34
2020;15;-0,33;1,37
2020;14;-0,29;1,35
2020;13;-0,22;1,54
2020;12;-0,44;1,46
2020;11;-0,7;1,14
2020;10;-0,69;1,12
2020;9;-0,63;1,13
2020;8;-0,61;1,15
2020;7;-0,59;1,18
2020;6;-0,59;1,17
2020;5;-0,6;1,18
2020;4;-0,62;1,22
2020;3;-0,61;1,24
2020;2;-0,62;1,24
2020;1;-0,59;1,26
2019;52;-0,6;1,3
2019;51;-0,59;1,33
2019;50;-0,59;1,33
2019;49;-0,6;1,34
2019;48;-0,61;1,32
2019;47;-0,61;1,33
2019;46;-0,61;1,34
2019;45;-0,62;1,33
2019;44;-0,63;1,32
2019;43;-0,66;1,33
2019;42;-0,68;1,32
2019;41;-0,71;1,28
2019;40;-0,7;1,29
2019;39;-0,73;1,36
2019;38;-0,69;1,4
2019;37;-0,73;1,4
2019;36;-0,75;1,39
2019;35;-0,75;1,4
2019;34;-0,74;1,43
2019;33;-0,73;1,44
2019;32;-0,7;1,46
2019;31;-0,67;1,5
2019;30;-0,7;1,53
2019;29;-0,68;1,57
2019;28;-0,68;1,57
2019;27;-0,66;1,56
2019;26;-0,65;1,59
2019;25;-0,65;1,63
2019;24;-0,61;1,65
2019;23;-0,59;1,67
2019;22;-0,6;1,7
2019;21;-0,58;1,71
2019;20;-0,58;1,73
2019;19;-0,56;1,74
2019;18;-0,56;1,77
2019;17;-0,55;1,78
2019;16;-0,55;1,8
2019;15;-0,55;1,78
2019;14;-0,53;1,78
2019;13;-0,5;1,77
2019;12;-0,5;1,83
2019;11;-0,51;1,86
2019;10;-0,5;1,91
2019;9;-0,5;1,91
2019;8;-0,5;1,91
2019;7;-0,48;1,93
2019;6;-0,46;1,96
2019;5;-0,44;2
2019;4;-0,47;2,01
2019;3;-0,45;2,03
2019;2;-0,44;2,04
2019;1;-0,44;2,04
2018;52;-0,45;2,07
2018;51;-0,46;2,06
2018;50;-0,49;2,08
2018;49;-0,49;2,07
2018;48;-0,5;2,08
2018;47;-0,48;2,09
2018;46;-0,5;2,09
2018;45;-0,49;2,11
2018;44;-0,5;2,09
2018;43;-0,53;2,1
2018;42;-0,53;2,11
2018;41;-0,51;2,12
2018;40;-0,51;2,09
2018;39;-0,5;2,09
2018;38;-0,5;2,08
2018;37;-0,52;2,08
2018;36;-0,5;2,06
2018;35;-0,5;2,08
2018;34;-0,47;2,07
2018;33;-0,49;2,07
2018;32;-0,5;2,08
2018;31;-0,49;2,1
2018;30;-0,53;2,09
2018;29;-0,52;2,07
2018;28;-0,51;2,06
2018;27;-0,51;2,06
2018;26;-0,44;2,07
2018;25;-0,48;2,1
2018;24;-0,54;2,14
2018;23;-0,55;2,12
2018;22;-0,52;2,09
2018;21;-0,5;2,13
2018;20;-0,48;2,17
2018;19;-0,5;2,18
2018;18;-0,55;2,13
2018;17;-0,52;2,17
2018;16;-0,55;2,11
2018;15;-0,55;2,09
2018;14;-0,54;2,08
2018;13;-0,38;2,14
2018;12;-0,52;2,17
2018;11;-0,54;2,2
2018;10;-0,47;2,29
2018;9;-0,57;2,33
2018;8;-0,67;2,4
2018;7;-0,45;2,39
2018;6;-0,47;2,26
2018;5;-0,61;2,17
2018;4;-0,61;2,12
2018;3;-0,61;2,08
2018;2;-0,59;2,05
2018;1;-0,52;2,05
2017;52;-0,53;2,07
2017;51;-0,52;2,05
2017;50;-0,54;2,03
2017;49;-0,61;2,04
2017;48;-0,59;2,06
2017;47;-0,54;2,07
2017;46;-0,54;2,1
2017;45;-0,62;2,08
2017;44;-0,52;2,11
2017;43;-0,8;2,15
2017;42;-0,59;2,12
2017;41;-0,65;2,12
2017;40;-0,6;2,12
2017;39;-0,6;2,15
2017;38;-0,6;2,15
2017;37;-0,56;2,15
2017;36;-0,59;2,16
2017;35;-0,65;2,34
2017;34;-0,61;2,34
2017;33;-0,63;2,47
2017;32;-0,63;2,47
2017;31;-0,58;2,18
2017;30;-0,5;2,21
2017;29;-0,55;2,2
2017;28;-0,51;2,23
2017;27;-0,51;2,21
2017;26;-0,46;2,38
2017;25;-0,6;2,17
2017;24;-0,52;2,36
2017;23;-0,57;2,32
2017;22;-0,54;2,38
2017;21;-0,53;2,28
2017;20;-0,46;2,61
2017;19;-0,53;2,27
2017;18;-0,53;2,22
2017;17;-0,49;2,32
2017;16;-0,6;2,51
2017;15;-0,59;2,18
2017;14;-0,55;2,18
2017;13;-0,43;2,38
2017;12;-0,56;2,34
2017;11;-0,66;2,41
2017;10;-0,57;2,29
2017;9;-0,53;2,32
2017;8;-0,53;2,41
2017;7;-0,6;2,31
2017;6;-0,45;2,59
2017;5;-0,45;2,46
2017;4;-0,41;2,45
2017;3;-0,61;2,39
2017;2;-0,47;2,36
2017;1;-0,4;2,26
2016;52;-0,33;2,39
2016;51;-0,37;2,47
2016;50;-0,34;2,56
2016;49;-0,35;2,54
2016;48;-0,37;2,52
2016;47;-0,32;2,46
2016;46;-0,3;2,65
2016;45;-0,32;2,28
2016;44;-0,27;2,27
2016;43;-0,45;2,48
2016;42;-0,48;2,18
2016;41;-0,66;2,17
2016;40;-0,37;2,11
2016;39;-0,34;2,27
2016;38;-0,3;2,48
2016;37;-0,43;2,43
2016;36;-0,44;2,2
2016;35;-0,6;2,37
2016;34;-0,48;2,13
2016;33;-0,52;2,56
2016;32;-0,47;2,43
2016;31;-0,52;2,27
2016;30;-0,33;2,31
2016;29;-0,37;2,44
2016;28;-0,4;2,45
2016;27;-0,46;2,26
2016;26;-0,48;2,41
2016;25;-0,37;2,68
2016;24;-0,32;2,57
2016;23;-0,3;2,75
2016;22;-0,23;2,65
2016;21;-0,24;2,78
2016;20;-0,32;2,7
2016;19;-0,28;2,79
2016;18;-0,24;2,59
2016;17;-0,28;2,84
2016;16;-0,2;2,63
2016;15;-0,19;2,66
2016;14;-0,17;2,56
2016;13;-0,03;2,74
2016;12;0,01;2,78
2016;11;-0,25;2,74
2016;10;-0,09;2,87
2016;9;-0,12;2,68
2016;8;-0,09;2,98
2016;7;0,01;3,03
2016;6;-0,1;2,83
2016;5;-0,16;2,7
2016;4;-0,03;2,95
2016;3;-0,16;3,09
2016;2;-0,03;2,88
2016;1;-0,1;2,95
2015;52;-0,13;3,17
2015;51;-0,07;2,97
2015;50;-0,29;2,84
2015;49;-0,12;2,94
2015;48;-0,19;2,89
2015;47;-0,09;3,15
2015;46;-0,04;2,71
2015;45;-0,09;3,16
2015;44;-0,04;2,74
2015;43;0,01;2,75
2015;42;-0,25;3,08
2015;41;0,13;2,98
2015;40;-0,03;3,09
2015;39;-0,02;3,18
2015;38;0;3,03
2015;37;-0,1;3,02
2015;36;-0,14;3,08
2015;35;-0,05;3,19
2015;34;-0,07;3,14
2015;33;-0,29;3,01
2015;32;-0,19;3,11
2015;31;-0,19;3,13
2015;30;-0,32;3,27
2015;29;-0,14;3,33
2015;28;-0,36;3,31
2015;27;-0,39;3,17
2015;26;-0,22;3,29
2015;25;-0,03;3,09
2015;24;-0,23;2,97
2015;23;-0,02;2,85
2015;22;-0,19;2,79
2015;21;-0,18;2,85
2015;20;-0,09;2,84
2015;19;-0,31;2,57
2015;18;-0,36;2,28
2015;17;-0,28;2,13
2015;16;-0,25;2,14
2015;15;-0,17;2,33
2015;14;-0,37;2,25
2015;13;-0,33;2,34
2015;12;-0,28;2,16
2015;11;-0,26;2,21
2015;10;-0,27;2,34
2015;9;-0,27;2,28
2015;8;-0,25;2,13
2015;7;-0,6;2,22
2015;6;-0,36;2,14
2015;5;0,02;2,34
2015;4;0,04;2,45
2015;3;0,16;2,53
2015;2;0,17;2,53
2015;1;0,18;2,64
2014;52;0,3;2,6
2014;51;0,23;2,61
2014;50;0,23;2,71
2014;49;0,23;2,64
2014;48;0,2;2,64
2014;47;0,17;2,66
2014;46;0,12;2,78
2014;45;0,12;2,72
2014;44;0,13;2,78
2014;43;0,16;2,76
2014;42;0,05;2,79
2014;41;0,11;2,8
2014;40;0,12;2,83
2014;39;0,12;2,88
2014;38;0,08;2,94
2014;37;0,07;2,93
2014;36;0,12;2,87
2014;35;0,17;2,92
2014;34;0,17;2,95
2014;33;0,21;2,97
2014;32;0,21;2,99
2014;31;0,16;3,03
2014;30;0,26;3,02
2014;29;0,16;3,03
2014;28;0,12;3,01
2014;27;0,24;3,04
2014;26;0,21;3,06
2014;25;0,2;3,09
2014;24;0,21;3,11
2014;23;0,15;3,12
2014;22;0,17;3,12
2014;21;0,18;3,12
2014;20;0,17;3,14
2014;19;0,23;3,19
2014;18;0,18;3,21
2014;17;0,19;3,22
2014;16;0,26;3,23
2014;15;0,43;3,24
2014;14;0,3;3,26
2014;13;0,22;3,35
2014;12;0,23;3,32
2014;11;0,17;3,34
2014;10;0,21;3,39
2014;9;0,19;3,43
2014;8;0,15;3,45
2014;7;0,15;3,5
2014;6;0,14;3,49
2014;5;0,25;3,56
2014;4;0,21;3,61
2014;3;0,26;3,62
2014;2;0,21;3,66
2014;1;0,15;3,64
2013;52;0,18;3,66
2013;51;0,2;3,56
2013;50;0,2;3,65
2013;49;0,18;3,58
2013;48;0,14;3,54
2013;47;0,19;3,55
2013;46;0,2;3,61
2013;45;0,2;3,59
2013;44;0,29;3,61
2013;43;0,27;3,67
2013;42;0,31;3,76
2013;41;0,27;3,7
2013;40;0,36;3,67
2013;39;0,24;3,78
2013;38;0,2;3,9
2013;37;0,32;3,9
2013;36;0,23;3,78
2013;35;0,22;3,74
2013;34;0,23;3,72
2013;33;0,22;3,59
2013;32;0,18;3,58
2013;31;0,17;3,55
2013;30;0,19;3,54
2013;29;0,24;3,5
2013;28;0,24;3,53
2013;27;0,28;3,41
2013;26;0,24;3,52
2013;25;0,19;3,37
2013;24;0,11;3,31
2013;23;0,16;3,22
2013;22;0,15;3,18
2013;21;0,14;3,11
2013;20;0,16;3,12
2013;19;0,19;3,12
2013;18;0,2;3,12
2013;17;0,21;3,17
2013;16;0,21;3,2
2013;15;0,24;3,25
2013;14;0,19;3,23
2013;13;0,36;3,36
2013;12;0,26;3,39
2013;11;0,29;3,42
2013;10;0,3;3,43
2013;9;0,26;3,47
2013;8;0,32;3,55
2013;7;0,31;3,49
2013;6;0,3;3,48
2013;5;0,4;3,47
2013;4;0,27;3,34
2013;3;0,21;3,28
2013;2;0,17;3,28
2013;1;0,21;3,28
2012;52;0,21;3,28
2012;51;0,21;3,32
2012;50;0,23;3,27
2012;49;0,26;3,37
2012;48;0,28;3,42
2012;47;0,3;3,47
2012;46;0,23;3,49
2012;45;0,31;3,51
2012;44;0,43;3,51
2012;43;0,3;3,58
2012;42;0,26;3,59
2012;41;0,3;3,53
2012;40;0,28;3,51
2012;39;0,36;3,54
2012;38;0,31;3,62
2012;37;0,18;3,54
2012;36;0,25;3,45
2012;35;0,22;3,46
2012;34;0,19;3,53
2012;33;0,19;3,55
2012;32;0,14;3,56
2012;31;0,16;3,53
2012;30;0,18;3,5
2012;29;0,18;3,51
2012;28;0,21;3,55
2012;27;0,32;3,62
2012;26;0,35;3,66
2012;25;0,35;3,61
2012;24;0,34;3,5
2012;23;0,38;3,51
2012;22;0,54;3,63
2012;21;0,56;3,68
2012;20;0,58;3,73
2012;19;0,61;3,82
2012;18;0,64;3,83
2012;17;0,64;3,86
2012;16;0,7;3,86
2012;15;0,79;3,9
2012;14;0,83;3,92
2012;13;0,76;3,94
2012;12;0,75;3,92
2012;11;0,77;3,9
2012;10;0,75;3,97
2012;9;0,73;3,97
2012;8;0,72;3,96
2012;7;0,73;3,98
2012;6;0,76;3,92
2012;5;0,74;3,99
2012;4;1,57;3,88
2012;3;0,68;4,06
2012;2;0,69;4,04
2012;1;0,73;4,1
2011;52;0,84;4,14
2011;51;1;4,19
2011;50;1,08;4,26
2011;49;1,11;4,3
2011;48;1,2;4,3
2011;47;1,18;4,28
2011;46;1,19;4,31
2011;45;1,31;4,35
2011;44;1,32;4,38
2011;43;1,23;4,36
2011;42;1,17;4,34
2011;41;0,96;4,26
2011;40;1,18;4,27
2011;39;1,03;4,24
2011;38;1,06;4,33
2011;37;1,12;4,35
2011;36;1,3;4,46
2011;35;1,3;4,4
2011;34;1,27;4,56
2011;33;1,24;4,85
2011;32;1,43;5,04
2011;31;1,56;5,03
2011;30;1,63;5,06
2011;29;1,6;5,09
2011;28;1,75;5,16
2011;27;1,67;5,11
2011;26;1,71;5,12
2011;25;1,68;5,08
2011;24;1,69;5,08
2011;23;1,62;5,07
2011;22;1,67;5,09
2011;21;1,74;5,14
2011;20;1,65;5,11
2011;19;1,91;5,22
2011;18;1,72;5,19
2011;17;1,77;5,23
2011;16;2,04;5,26
2011;15;1,98;5,06
2011;14;1,56;5,13
2011;13;1,6;5,14
2011;12;1,72;5,03
2011;11;1,61;5,17
2011;10;1,54;4,94
2011;9;1,51;5,09
2011;8;1,46;5,14
2011;7;1,5;4,94
2011;6;1,46;4,73
2011;5;1,25;4,62
2011;4;1,05;4,59
2011;3;1,59;4,57
2011;2;1,14;4,57
2011;1;1,32;4,6
2010;52;1,41;4,68
2010;51;1,56;4,8
2010;50;1,54;4,61
