dato;kredit;bnp;huspriser2;cpi
31-03-1980;377,541;272,149;1,057085207;0,958889419
30-06-1980;387,0295;264,495;0,994742969;0,987805707
30-09-1980;392,9446;261,369;0,983543932;1,016731401
31-12-1980;402,3278;263,107;0,966444807;1,03617896
31-03-1981;405,375;263,807;0,936019516;1,063333333
30-06-1981;417,4015;261,618;0,861293342;1,108666667
30-09-1981;422,1555;264,018;0,810785767;1,136
31-12-1981;427,9513;264,434;0,807666411;1,161333333
31-03-1982;435,657;268,862;0,784528776;1,186
30-06-1982;446,5065;272,365;0,77241553;1,214333333
30-09-1982;451,8259;275,606;0,736026814;1,245
31-12-1982;457,9384;275,698;0,734894169;1,276333333
31-03-1983;464,8681;277,018;0,791240923;1,287
30-06-1983;478,8345;281,217;0,878408995;1,305333333
30-09-1983;485,585;278,2;0,879152978;1,321333333
31-12-1983;503,8279;284,368;0,887209678;1,348
31-03-1984;519,6184;287,796;0,923929676;1,367666667
30-06-1984;544,4107;291,01;0,926683627;1,392
30-09-1984;553,9834;293,735;0,926929198;1,406333333
31-12-1984;570,7627;295,026;0,95489161;1,426666667
31-03-1985;584,4239;295,19;0,980401511;1,444666667
30-06-1985;611,9174;299,957;1,009911141;1,466666667
30-09-1985;625,9943;306,28;1,082345023;1,465333333
31-12-1985;671,2873;313,039;1,099388727;1,477666667
31-03-1986;691,9525;317,719;1,163087783;1,476333333
30-06-1986;733,3524;319,164;1,130223624;1,524666667
30-09-1986;764,0201;317,665;1,099741054;1,526333333
31-12-1986;818,3325;319,612;1,104480729;1,542333333
31-03-1987;833,7941;313,668;1,026255154;1,55
30-06-1987;856,8094;325,023;1,008388615;1,574666667
30-09-1987;871,2492;317,987;0,994786166;1,585333333
31-12-1987;914,8028;320,732;0,973743598;1,603666667
31-03-1988;911,0282;319,896;0,975062631;1,623666667
30-06-1988;932,387;319,844;0,958395533;1,647
30-09-1988;936,6768;317,769;0,971758683;1,654333333
31-12-1988;959,6084;319,614;0,96706318;1,675
31-03-1989;958,2567;324,72;0,945293481;1,697666667
30-06-1989;978,1877;322,25;0,931769387;1,725333333
30-09-1989;978,0955;318,44;0,909147388;1,734666667
31-12-1989;1010,264;319,722;0,884050509;1,757333333
31-03-1990;1010,82;322,323;0,845435914;1,753666667
30-06-1990;1023,585;326,988;0,84235485;1,767333333
30-09-1990;1028,797;330,012;0,815768353;1,78
31-12-1990;1058,731;324,471;0,802969855;1,796666667
31-03-1991;1049,147;326,6;0,818882332;1,797333333
30-06-1991;1068,408;325,4;0,821569817;1,814333333
30-09-1991;1051,85;329,5;0,815505849;1,820333333
31-12-1991;1075,503;325,2;0,814581851;1,835666667
31-03-1992;1071,737;331,1;0,807337299;1,839333333
30-06-1992;1079,136;329,1;0,798939602;1,858666667
30-09-1992;1071,302;337,3;0,783769862;1,858666667
31-12-1992;1072,532;334,7;0,76163127;1,863333333
31-03-1993;1066,814;332;0,751409018;1,863666667
30-06-1993;1069,058;330,3;0,741064168;1,877
30-09-1993;1073,446;333,8;0,774464071;1,881
31-12-1993;1081,91;336,1;0,814812361;1,891666667
31-03-1994;1094,612;343,9;0,859739419;1,896666667
30-06-1994;1095,57;349,8;0,85165691;1,914666667
30-09-1994;1075,693;351,8;0,836908275;1,920333333
31-12-1994;1072,538;357,8;0,844307438;1,931333333
31-03-1995;1077,64;360,8;0,85932336;1,941333333
30-06-1995;1089,455;359,8;0,883058711;1,958333333
30-09-1995;1091,445;361,3;0,905888806;1,955666667
31-12-1995;1111,691;363,9;0,926791734;1,967333333
31-03-1996;1135,766;364;0,936521881;1,977
30-06-1996;1151,466;373,8;0,950674131;1,997
30-09-1996;1167,055;374,9;0,976955131;2,001
31-12-1996;1177,969;375;1,010315013;2,014
31-03-1997;1205,624;379,7;1,032904042;2,02
30-06-1997;1229,913;386,3;1,051451002;2,038
30-09-1997;1249,601;385,2;1,069088506;2,048333333
31-12-1997;1271,782;385,1;1,07600674;2,057
31-03-1998;1305,923;390,9;1,094262175;2,061333333
30-06-1998;1347,347;388;1,130532828;2,078333333
30-09-1998;1385,257;395,1;1,143975095;2,082666667
31-12-1998;1400,561;396,4;1,157026031;2,091666667
31-03-1999;1440,831;400;1,168667031;2,103
30-06-1999;1473,768;402;1,173890898;2,125666667
30-09-1999;1483,572;404,5;1,189284219;2,137666667
31-12-1999;1491,305;410,2;1,181716276;2,155333333
31-03-2000;1571,612;414,2;1,191486157;2,169212333
30-06-2000;1624,833;418,9;1,210118762;2,194061667
30-09-2000;1614,435;420;1,236726263;2,196254333
31-12-2000;1634,1;424,1;1,239177151;2,210871667
31-03-2001;1681,142;419,5;1,256747342;2,221093524
30-06-2001;1715,096;421,6;1,257392791;2,249851749
30-09-2001;1746,27;425,4;1,272555842;2,248893141
31-12-2001;1794,217;424,5;1,258353252;2,255603393
31-03-2002;1820,431;424,4;1,265273537;2,276692758
30-06-2002;1853,048;424,3;1,276604409;2,300657945
30-09-2002;1879,91;425,8;1,284774677;2,300657945
31-12-2002;1896,962;424,4;1,27679471;2,315037057
31-03-2003;1943,256;426,7;1,265721879;2,339002244
30-06-2003;1978,229;422,7;1,283946834;2,353381356
30-09-2003;1995,644;424,1;1,305771999;2,342836674
31-12-2003;2022,727;432;1,30257419;2,348588319
31-03-2004;2079,206;434,1;1,331524832;2,361050216
30-06-2004;2132,541;436,7;1,370708979;2,379263758
30-09-2004;2153,957;437,7;1,415342864;2,370636291
31-12-2004;2201,225;442,5;1,436704169;2,381180973
31-03-2005;2279,902;440,9;1,488542248;2,38980844
30-06-2005;2383,698;449,5;1,555717474;2,419525272
30-09-2005;2449,861;450;1,64180716;2,424318309
31-12-2005;2527,547;451,5;1,72619468;2,431028562
31-03-2006;2621,936;457,2;1,824104676;2,439656029
30-06-2006;2723,968;470,8;1,915174328;2,468414253
30-09-2006;2785,984;467,7;1,959342552;2,470331468
31-12-2006;2889,048;466,4;1,952120696;2,472248683
31-03-2007;2982,193;468;1,96804841;2,485669188
30-06-2007;3068,259;465,9;1,976980038;2,50771716
30-09-2007;3137,965;470,2;1,990209617;2,498131085
31-12-2007;3269,154;475;1,932958332;2,525930702
31-03-2008;3350,346;474,8;1,886011016;2,561399179
30-06-2008;3442,902;470,4;1,877230755;2,595909048
30-09-2008;3489,725;467,6;1,821834393;2,6026193
31-12-2008;3625,308;456,6;1,681050761;2,599743478
31-03-2009;3623,172;450,1;1,577561903;2,60645373
30-06-2009;3611,66;441,4;1,572053797;2,627543095
30-09-2009;3570,703;442,9;1,583995107;2,628501702
31-12-2009;3559,122;443,3;1,576332156;2,632336132
31-03-2010;3568,028;447,1;1,568126407;2,661094356
30-06-2010;3626,6;450,2;1,592633504;2,685059543
30-09-2010;3621,91;457,3;1,594468446;2,690811188
31-12-2010;3610,948;456,3;1,581847456;2,700397263
31-03-2011;3589,428;457,3;1,537191116;2,732989917
30-06-2011;3568,525;461,9;1,532137615;2,766541179
30-09-2011;3566,085;456,1;1,487821995;2,763665356
31-12-2011;3565,276;459,9;1,438419539;2,770375609
31-03-2012;3604,427;459,5;1,41472882;2,806802693
30-06-2012;3628,052;459,9;1,417952958;2,82693345
30-09-2012;3610,712;460,3;1,415552902;2,831726487
31-12-2012;3569,643;459,6;1,415073865;2,832685095
31-03-2013;3566,032;462,2;1,424969804;2,839395347
30-06-2013;3603,296;462,5;1,45053854;2,850898637
30-09-2013;3597,641;465,4;1,446376886;2,846105599
31-12-2013;3600,393;466,4;1,447241861;2,850898637
31-03-2014;3585,728;467,5;1,455843095;2,856650282
30-06-2014;3585,958;467,2;1,492603144;2,868153571
30-09-2014;3586,242;475;1,492318916;2,862401926
31-12-2014;3599,853;476,7;1,491320042;2,864319141
31-03-2015;3613,892;480;1,538897909;2,864319141
30-06-2015;3614,36;482,2;1,573251647;2,885408506
30-09-2015;3624,276;483,7;1,573130205;2,879656861
31-12-2015;3646,785;484,8;1,579548852;2,873905216
31-03-2016;3675,375;490,4;1,604611235;2,872946609
30-06-2016;3671,8;497;1,62158409;2,889242936
30-09-2016;3663,715;501,2;1,638941141;2,884449898
31-12-2016;3670,053;504,8;1,630253518;2,885408506
31-03-2017;3665,305;507,5;1,644313729;2,900746226
30-06-2017;3685,545;510,1;1,680833066;2,913208123
30-09-2017;3694,122;505,7;1,680053189;2,928545842
31-12-2017;3703,369;510,6;1,672653335;2,92183559
31-03-2018;3745,241;516,2;1,715112152;2,91800116
30-06-2018;3783,27;518,7;1,72510062;2,941966347
30-09-2018;3803,747;521,5;1,727315481;2,932752893
31-12-2018;3839,597;526,3;1,721141554;2,924160843
31-03-2019;3846,061;526,2;1,728489591;2,947072975
30-06-2019;3908,512;532,5;1,765164186;2,947072975
30-09-2019;3965,148;535,1;1,776326019;2,947072975
