dato;A;D;C;B;Samlet
30/09/2000;91,2308444;;;8,769155597;100
31/12/2000;90,8864425;;;9,113557501;100
31/03/2001;89,2594985;;;10,7405015;100
30/06/2001;87,52579151;;;12,47420849;100
30/09/2001;84,81733913;;;15,18266087;100
31/12/2001;79,38274775;;;20,61725225;100
31/03/2002;76,03007282;;;23,96992718;100
30/06/2002;74,21230917;;;25,78769083;100
30/09/2002;73,65502904;;;26,34497096;100
31/12/2002;71,58669921;;;28,41330079;100
31/03/2003;69,67597551;;;30,32402449;100
30/06/2003;68,44352222;;;31,55647778;100
30/09/2003;67,08851917;;;32,91148083;100
31/12/2003;63,4765611;0,712718275;4,819818333;30,99090229;100
31/03/2004;60,11904762;1,001238646;7,87902279;31,00069095;100
30/06/2004;57,18020319;1,439440024;11,25451072;30,12584606;100
30/09/2004;55,52690245;1,791887825;12,39799273;30,28321699;100
31/12/2004;53,18721513;2,479870786;14,46568896;29,86722512;100
31/03/2005;48,35287107;2,869204992;16,76924496;32,00867898;100
30/06/2005;45,30518187;3,989996489;18,18434752;32,52047411;100
30/09/2005;43,66064942;5,43860651;18,83748535;32,06325872;100
31/12/2005;42,08964882;6,558365914;20,83231846;30,5196668;100
31/03/2006;40,60193441;7,222920126;22,0897865;30,08535896;100
30/06/2006;39,39675367;8,130599673;23,18584293;29,28680372;100
30/09/2006;38,66070818;8,81925451;24,2078663;28,31217102;100
31/12/2006;38,21264777;9,857938346;25,31174716;26,61766672;100
31/03/2007;37,38640514;10,63077051;26,12890067;25,85392368;100
30/06/2007;36,44310432;11,70339135;26,76243319;25,09107114;100
30/09/2007;35,60148709;12,68822164;27,5109157;24,19937558;100
31/12/2007;34,65061661;13,39909564;29,457451;22,49283675;100
31/03/2008;33,21643333;14,08482085;30,82098051;21,87776531;100
30/06/2008;32,30857831;14,0700473;32,21879237;21,40258201;100
30/09/2008;31,49883523;14,25968719;32,84527961;21,39619797;100
31/12/2008;31,18599217;14,45177707;34,64449329;19,71773747;100
31/03/2009;30,13536688;13,82358071;35,64278149;20,39827092;100
30/06/2009;28,52626508;11,93351305;38,75037069;20,78985117;100
30/09/2009;27,33980469;10,9408403;40,43914358;21,28021143;100
31/12/2009;26,02203009;9,965308402;41,95557336;22,05708815;100
31/03/2010;24,86204613;8,952839435;43,6891737;22,49594074;100
30/06/2010;23,74481613;8,325200921;44,87493933;23,05504362;100
30/09/2010;23,37235491;8,046509039;45,47973419;23,10140187;100
31/12/2010;22,72252985;7,957506608;46,04953561;23,27042794;100
31/03/2011;22,37378544;7,859641711;46,49303629;23,27353655;100
30/06/2011;22,06948567;7,890690526;46,92845448;23,11136933;100
30/09/2011;21,7789793;7,922175597;47,29514182;23,00370328;100
31/12/2011;20,90783493;7,452818211;48,09598071;23,54336615;100
31/03/2012;20,55255315;6,903261691;48,85014818;23,69403698;100
30/06/2012;20,33466376;6,807777233;49,10069208;23,75686692;100
30/09/2012;20,3765193;6,86051981;48,54304633;24,21991456;100
31/12/2012;20,38895949;6,997899376;48,0272906;24,58585053;100
31/03/2013;20,45205541;7,108214777;48,13751005;24,30221976;100
30/06/2013;20,3052025;7,196933129;48,09131819;24,40654618;100
30/09/2013;20,30174241;7,421397169;47,98063172;24,2962287;100
31/12/2013;20,85290391;7,50095598;47,6565133;23,98962681;100
31/03/2014;20,77732764;7,51633975;47,47985154;24,22648107;100
30/06/2014;20,71096889;7,546812614;47,50502091;24,23719759;100
30/09/2014;20,9303033;7,645139703;47,32035209;24,10420491;100
31/12/2014;21,57881925;7,546939969;46,73290175;24,14133903;100
31/03/2015;23,01192317;7,887523226;45,51442488;23,58612872;100
30/06/2015;23,85167304;8,25976115;44,80791446;23,08065135;100
30/09/2015;24,50700002;8,340265986;44,0379251;23,1148089;100
31/12/2015;24,83723917;8,473746153;43,41646171;23,27255296;100
31/03/2016;24,96115448;8,597464705;42,76409914;23,67728168;100
30/06/2016;25,21773811;8,442141078;42,43552356;23,90459725;100
30/09/2016;25,75184381;8,538483541;41,79045389;23,91921876;100
31/12/2016;26,5205085;8,409184203;41,36105128;23,70925602;100
31/03/2017;26,88717834;8,521199207;40,62635342;23,96526903;100
30/06/2017;27,08427237;8,613384091;40,17758951;24,12475403;100
30/09/2017;27,45728365;8,648325544;39,55839413;24,33599667;100
31/12/2017;27,78763228;8,586611841;38,92810107;24,69765481;100
31/03/2018;28,08797844;8,69555203;37,88424861;25,33222093;100
30/06/2018;28,46486458;8,826685955;37,43725006;25,27119941;100
30/09/2018;28,67723188;8,944911658;36,98318792;25,39466854;100
31/12/2018;28,93121556;9,133629668;36,53489245;25,40026233;100
31/03/2019;29,27776374;9,259623282;35,59263475;25,86997823;100
30/06/2019;29,36837515;9,436816856;34,92917508;26,26563291;100
30/09/2019;30,12500598;9,894820281;34,06668825;25,91348549;100
30/12/2019;30,45636276;10,45599909;33,44720663;25,64043152;100
