dato;sa/let rk;fast;variabel;andelvariabel
01/07/2000;1074454;981648;92806;9
01/08/2000;1080637;986613;94024;9
01/09/2000;1082647;987708;94939;9
01/10/2000;1088342;992108;96234;9
01/11/2000;1094582;996731;97851;9
01/12/2000;1095401;995571;99830;9
01/01/2001;1102873;999103;103770;9
01/02/2001;1108592;998478;110114;10
01/03/2001;1114650;994931;119719;11
01/04/2001;1120131;994842;125289;11
01/05/2001;1129550;998117;131433;12
01/06/2001;1131671;990504;141167;12
01/07/2001;1139664;988056;151608;13
01/08/2001;1149293;984578;164715;14
01/09/2001;1153230;978139;175091;15
01/10/2001;1164448;973688;190760;16
01/11/2001;1179487;969059;210428;18
01/12/2001;1191798;946082;245716;21
01/01/2002;1194284;927741;266543;22
01/02/2002;1203198;924789;278409;23
01/03/2002;1209065;919253;289812;24
01/04/2002;1216645;916178;300467;25
01/05/2002;1227383;917803;309580;25
01/06/2002;1230432;913132;317300;26
01/07/2002;1239725;915367;324358;26
01/08/2002;1269909;941530;328379;26
01/09/2002;1267927;933892;334035;26
01/10/2002;1275487;932733;342754;27
01/11/2002;1284784;933156;351628;27
01/12/2002;1284585;919592;364993;28
01/01/2003;1296120;921198;374922;29
01/02/2003;1311029;925477;385552;29
01/03/2003;1321289;920621;400668;30
01/04/2003;1329046;918367;410679;31
01/05/2003;1342998;926634;416364;31
01/06/2003;1350363;924236;426127;32
01/07/2003;1359118;924831;434287;32
01/08/2003;1368436;928213;440223;32
01/09/2003;1374335;922021;452314;33
01/10/2003;1380467;917620;462847;34
01/11/2003;1388153;912046;476107;34
01/12/2003;1393538;894502;499036;36
01/01/2004;1402090;885172;516918;37
01/02/2004;1412286;880262;532024;38
01/03/2004;1424136;870436;553700;39
01/04/2004;1431897;863212;568685;40
01/05/2004;1442106;861596;580510;40
01/06/2004;1453204;851863;601341;41
01/07/2004;1457259;845604;611655;42
01/08/2004;1465162;846400;618762;42
01/09/2004;1470851;843074;627777;43
01/10/2004;1477801;841927;635874;43
01/11/2004;1486130;841978;644152;43
01/12/2004;1488384;828540;659844;44
01/01/2005;1497340;814600;682740;46
01/02/2005;1513668;809034;704634;47
01/03/2005;1528751;783058;745693;49
01/04/2005;1537312;774174;763138;50
01/05/2005;1556504;773113;783391;50
01/06/2005;1577846;777802;800044;51
01/07/2005;1589434;778938;810496;51
01/08/2005;1623357;807228;816129;50
01/09/2005;1628487;799575;828912;51
01/10/2005;1634238;797739;836499;51
01/11/2005;1652014;804707;847307;51
01/12/2005;1662777;808908;853869;51
01/01/2006;1675309;807768;867541;52
01/02/2006;1688446;809378;879068;52
01/03/2006;1707495;816607;890888;52
01/04/2006;1722244;822423;899821;52
01/05/2006;1738279;830798;907481;52
01/06/2006;1751888;832626;919262;52
01/07/2006;1770039;840690;929349;53
01/08/2006;1785506;848981;936525;52
01/09/2006;1797771;853581;944190;53
01/10/2006;1811948;859993;951955;53
01/11/2006;1826767;869326;957441;52
01/12/2006;1832655;880968;951687;52
01/01/2007;1846098;886158;959940;52
01/02/2007;1857485;892745;964740;52
01/03/2007;1872884;899306;973578;52
01/04/2007;1886644;908319;978325;52
01/05/2007;1902402;916714;985688;52
01/06/2007;1918555;923717;994838;52
01/07/2007;1935248;935092;1000156;52
01/08/2007;1951624;943657;1007967;52
01/09/2007;1964373;948590;1015783;52
01/10/2007;1980133;957146;1022987;52
01/11/2007;1995377;963780;1031597;52
01/12/2007;2012703;967098;1045605;52
01/01/2008;2026603;968314;1058289;52
01/02/2008;2038534;968404;1070130;52
01/03/2008;2055603;972326;1083277;53
01/04/2008;2070619;973363;1097256;53
01/05/2008;2086529;975566;1110963;53
01/06/2008;2102779;975240;1127539;54
01/07/2008;2116754;977014;1139740;54
01/08/2008;2127009;978750;1148259;54
01/09/2008;2137333;978012;1159321;54
01/10/2008;2147876;1004653;1143223;53
01/11/2008;2159684;997433;1162251;54
01/12/2008;2165360;988222;1177138;54
01/01/2009;2178149;985720;1192429;55
01/02/2009;2189621;980950;1208671;55
01/03/2009;2201868;967918;1233950;56
01/04/2009;2214628;954560;1260068;57
01/05/2009;2224746;940716;1284030;58
01/06/2009;2235687;904554;1331133;60
01/07/2009;2247178;892823;1354355;60
01/08/2009;2259155;885709;1373446;61
01/09/2009;2264954;867039;1397915;62
01/10/2009;2270666;859510;1411156;62
01/11/2009;2277597;851707;1425890;63
01/12/2009;2281244;820959;1460285;64
01/01/2010;2285339;810416;1474923;65
01/02/2010;2291860;800271;1491589;65
01/03/2010;2296601;776593;1520008;66
01/04/2010;2299350;763662;1535688;67
01/05/2010;2306851;759238;1547613;67
01/06/2010;2315836;742689;1573147;68
01/07/2010;2320949;737946;1583003;68
01/08/2010;2329051;740925;1588126;68
01/09/2010;2335460;733775;1601685;69
01/10/2010;2338387;730984;1607403;69
01/11/2010;2346428;732519;1613909;69
01/12/2010;2348977;720667;1628310;69
01/01/2011;2347695;716826;1630869;69
01/02/2011;2355759;720737;1635022;69
